Product ID,Handle,Title,Vendor,Type,Tags,Updated At,Status,URL,Category,Variant ID,Variant Name,Variant SKU,Variant Barcode,Variant Price
9.22293E+12,fs6cd07fbk,Ruffle Rib Cardigan (Black),Fairliar USA,Top,"26SPR D2, 26Spring, 26SS, ALL, Cardigans, FEMALE, Tops",2026-02-25T23:52:31Z,ACTIVE,https://fairliar.jp/products/fs6cd07fbk,Apparel & Accessories > Clothing > Clothing Tops > Cardigans,4.77234E+13,S,FS6CD07FBKS,1.9241E+12,326
9.22293E+12,fs6cd07fbk,Ruffle Rib Cardigan (Black),Fairliar USA,Top,"26SPR D2, 26Spring, 26SS, ALL, Cardigans, FEMALE, Tops",2026-02-25T23:52:31Z,ACTIVE,https://fairliar.jp/products/fs6cd07fbk,Apparel & Accessories > Clothing > Clothing Tops > Cardigans,4.77234E+13,XS,FS6CD07FBKXS,1.9241E+12,326
9.22293E+12,fs6ht02fbk,Logo Tape With Pearl Visor (Black),Fairliar USA,Hat,"26SPR D2, 26Spring, 26SS, Accessories, ALL, FEMALE, Visors",2026-02-26T01:59:26Z,ACTIVE,https://fairliar.jp/products/fs6ht02fbk,Apparel & Accessories > Clothing Accessories > Hats,4.77234E+13,FR,FS6HT02FBKFR,1.9241E+12,126
9.22293E+12,fs6ht02fwh,Logo Tape With Pearl Visor (White),Fairliar USA,Hat,"26SPR D2, 26Spring, 26SS, Accessories, ALL, FEMALE, Visors",2026-02-26T01:59:23Z,ACTIVE,https://fairliar.jp/products/fs6ht02fwh,Apparel & Accessories > Clothing Accessories > Hats,4.77234E+13,FR,FS6HT02FWHFR,1.9241E+12,126
9.22293E+12,fs6ht03fbg,Color Organza Visor (Beige),Fairliar USA,Hat,"26SPR D2, 26Spring, 26SS, Accessories, ALL, FEMALE, Visors",2026-02-26T01:57:09Z,ACTIVE,https://fairliar.jp/products/fs6ht03fbg,Apparel & Accessories > Clothing Accessories > Hats,4.77234E+13,FR,FS6HT03FBGFR,1.9241E+12,126
9.22293E+12,fs6ht03fca,Color Organza Visor (Coral),Fairliar USA,Hat,"26SPR D2, 26Spring, 26SS, Accessories, ALL, FEMALE, Visors",2026-02-27T03:31:27Z,ACTIVE,https://fairliar.jp/products/fs6ht03fca,Apparel & Accessories > Clothing Accessories > Hats,4.77234E+13,FR,FS6HT03FCAFR,1.9241E+12,126
9.22293E+12,fs6ht06fbk,Lace Scallop Ribbon visor (Black),Fairliar USA,Hat,"26SPR D2, 26Spring, 26SS, Accessories, ALL, FEMALE, Visors",2026-02-26T01:55:28Z,ACTIVE,https://fairliar.jp/products/fs6ht06fbk,Apparel & Accessories > Clothing Accessories > Hats,4.77234E+13,FR,FS6HT06FBKFR,1.9241E+12,144
9.22293E+12,fs6ht06fwh,Lace Scallop Ribbon visor (White),Fairliar USA,Hat,"26SPR D2, 26Spring, 26SS, Accessories, ALL, FEMALE, Visors",2026-02-26T00:43:59Z,ACTIVE,https://fairliar.jp/products/fs6ht06fwh,Apparel & Accessories > Clothing Accessories > Hats,4.77234E+13,FR,FS6HT06FWHFR,1.9241E+12,144
9.22293E+12,fs6ht09fbk,Lace Bonnet Hat (Black),Fairliar USA,Hat,"26SPR D2, 26Spring, 26SS, Accessories, ALL, FEMALE, Visors",2026-03-01T02:55:09Z,ACTIVE,https://fairliar.jp/products/fs6ht09fbk,Apparel & Accessories > Clothing Accessories > Hats,4.77234E+13,FR,FS6HT09FBKFR,1.9241E+12,144
9.22293E+12,fs6ht09fwh,Lace Bonnet Hat (White),Fairliar USA,Hat,"26SPR D2, 26Spring, 26SS, Accessories, ALL, FEMALE, Visors",2026-02-26T00:42:33Z,ACTIVE,https://fairliar.jp/products/fs6ht09fwh,Apparel & Accessories > Clothing Accessories > Hats,4.77234E+13,FR,FS6HT09FWHFR,1.9241E+12,144
