"Warehouse ID","Variant Name",Stock,Barcode1,"Cost Price","Selling Price","Shopify Variant ID",SKU,"KSU (Shopify Product)","Created At","Updated At"
4823,M,0,FF5TS02FCOM,43561,278000,44730308559020,FF5TS02FCOM,,"2025-04-23 11:18:00","2025-11-19 18:50:00"
4824,S,0,FF5TS02FCOS,43561,278000,44730308526252,FF5TS02FCOS,,"2025-04-23 11:18:00","2025-11-19 18:50:00"
4825,XS,0,FF5TS02FCOXS,43561,278000,44730308493484,FF5TS02FCOXS,,"2025-04-23 11:18:00","2025-11-19 18:50:00"
4827,L,6,FF5TS02FIVL,43561,278000,44730309116076,FF5TS02FIVL,,"2025-04-23 11:18:00","2025-11-19 18:50:00"
4828,M,0,FF5TS02FIVM,43561,278000,44730309083308,FF5TS02FIVM,,"2025-04-23 11:18:00","2025-11-19 18:50:00"
4829,S,0,FF5TS02FIVS,43561,278000,44730309050540,FF5TS02FIVS,,"2025-04-23 11:18:00","2025-11-19 18:51:00"
4830,XS,1,FF5TS02FIVXS,43561,278000,44730309017772,FF5TS02FIVXS,,"2025-04-23 11:18:00","2025-11-19 18:51:00"
4832,FR,0,FM5NS01FBGFR,14300,17000,,FM5NS01FBGFR,,"2025-04-23 11:18:00","2025-09-01 10:03:00"
19437,XS,16,FF5TS12RIVXS,49269,358000,44936704852140,FF5TS12RIVXS,,"2025-05-19 13:45:08","2025-11-24 16:18:00"
19438,S,37,FF5TS12RIVS,49269,358000,44745643983020,FF5TS12RIVS,,"2025-05-19 13:45:08","2025-11-25 10:23:00"
19439,M,10,FF5TS12RIVM,49269,358000,44936704884908,FF5TS12RIVM,,"2025-05-19 13:45:08","2025-11-21 09:59:00"
19440,L,1,FF5TS12RIVL,49269,358000,,FF5TS12RIVL,,"2025-05-19 13:45:08","2025-11-18 16:28:00"
19442,XS,1,FF5OT02FCRXS,91834,558000,44730301743276,FF5OT02FCRXS,,"2025-05-19 13:45:08","2025-11-24 18:33:00"
19443,S,3,FF5OT02FCRS,91834,558000,44730301776044,FF5OT02FCRS,,"2025-05-19 13:45:08","2025-11-24 18:33:00"
19444,M,10,FF5OT02FCRM,91834,558000,44730301808812,FF5OT02FCRM,,"2025-05-19 13:45:08","2025-11-19 18:51:00"
19446,XS,1,FF5OT02FBKXS,91834,558000,44730301612204,FF5OT02FBKXS,,"2025-05-19 13:45:09","2025-11-19 18:51:00"
19447,S,19,FF5OT02FBKS,91834,558000,44730301644972,FF5OT02FBKS,,"2025-05-19 13:45:09","2025-11-19 18:51:00"
19448,M,4,FF5OT02FBKM,91834,558000,44730301677740,FF5OT02FBKM,,"2025-05-19 13:45:09","2025-11-21 15:19:00"
19450,XS,30,FF5OT04RWHXS,79849,478000,44745640378540,FF5OT04RWHXS,,"2025-05-19 13:45:09","2025-11-19 18:51:00"
19451,S,57,FF5OT04RWHS,79849,478000,44745640411308,FF5OT04RWHS,,"2025-05-19 13:45:09","2025-11-21 09:38:00"
19452,M,24,FF5OT04RWHM,79849,478000,44745640444076,FF5OT04RWHM,,"2025-05-19 13:45:09","2025-11-19 18:51:00"
19454,XS,41,FF5OT04RBKXS,79849,478000,44745640280236,FF5OT04RBKXS,,"2025-05-19 13:45:09","2025-11-19 18:51:00"
19455,S,89,FF5OT04RBKS,79849,478000,44745640313004,FF5OT04RBKS,,"2025-05-19 13:45:09","2025-11-21 00:09:00"
19456,M,67,FF5OT04RBKM,79849,478000,44745640345772,FF5OT04RBKM,,"2025-05-19 13:45:09","2025-11-19 18:51:00"
108588,FR,0,BG_30000FR,0,30000,,BG_30000FR,,"2025-06-02 17:48:31","2025-09-01 10:03:00"
108590,FR,0,HT_10000FR,0,10000,,HT_10000FR,,"2025-06-02 17:48:31","2025-09-01 10:03:00"
108592,FR,0,JK_70000FR,0,70000,,JK_70000FR,,"2025-06-02 17:48:31","2025-09-01 10:03:00"
108594,FR,0,PT_40000FR,0,40000,,PT_40000FR,,"2025-06-02 17:48:31","2025-09-01 10:03:00"
108596,FR,0,SH_30000FR,0,30000,,SH_30000FR,,"2025-06-02 17:48:32","2025-09-01 10:03:00"
108598,FR,0,SW_50000FR,0,50000,,SW_50000FR,,"2025-06-02 17:48:32","2025-09-01 10:03:00"
108600,FR,0,TS_30000FR,0,30000,,TS_30000FR,,"2025-06-02 17:48:32","2025-09-01 10:03:00"
108602,FR,1,C14AC01FBLFR,6226,18000,,C14AC01FBLFR,,"2025-06-02 17:48:32","2025-09-01 10:03:00"
108604,FR,2,C14AC01FMGFR,6226,18000,,C14AC01FMGFR,,"2025-06-02 17:48:33","2025-09-01 10:03:00"
108606,FR,1,C14AC01FNVFR,6226,18000,,C14AC01FNVFR,,"2025-06-02 17:48:33","2025-09-01 10:03:00"
108608,FR,1,C14AC01FWHFR,6226,18000,,C14AC01FWHFR,,"2025-06-02 17:48:33","2025-09-01 10:03:00"
108610,FR,30,C14AC02FBKFR,8296,38000,,C14AC02FBKFR,,"2025-06-02 17:48:33","2025-09-01 10:03:00"
108612,FR,12,C14AC02FGNFR,8296,38000,,C14AC02FGNFR,,"2025-06-02 17:48:34","2025-09-01 10:03:00"
108614,FR,2,C14AC02FNVFR,8296,38000,,C14AC02FNVFR,,"2025-06-02 17:48:34","2025-09-01 10:03:00"
108616,FR,0,C14AC03FBLFR,1457,8000,,C14AC03FBLFR,,"2025-06-02 17:48:34","2025-09-01 10:03:00"
108618,FR,0,C14AC03FGNFR,1457,8000,,C14AC03FGNFR,,"2025-06-02 17:48:35","2025-09-01 10:03:00"
108620,FR,0,C14AC04FGNFR,15017,110000,44219978154156,C14AC04FGNFR,,"2025-06-02 17:48:35","2025-11-24 18:16:00"
